iter,x,y,"f(x,y)",||grad||
0.0,-1.2,1.0,24.199999999999996,232.86768775422664
1.0,-0.9894531249999999,1.0859375,5.101112663710957,43.89852092322499
2.0,-1.0643320904579014,1.0441718697547913,5.047011137654621,45.46014402202028
3.0,-1.0234514645128605,1.0614825980797318,4.1140390714609625,3.2789770922880574
4.0,-1.0267651031888638,1.0560022473507424,4.108085021297817,3.3509138580421074
5.0,-1.0202563808475194,1.0553164386693736,4.10215271407615,3.4129600330308163
6.0,-1.0238373428835006,1.0496940339782426,4.096128168072973,3.4655605102780633
7.0,-1.0170924472957374,1.0491271865971896,4.090124601875364,3.5063757616506526
8.0,-1.0208542322682348,1.0434044755615814,4.084010868429543,3.5357514479062138
9.0,-1.0139660606926788,1.0429118536781383,4.077917974154677,3.552266622742193
10.0,-1.0178108535804755,1.037136587490049,4.071704078295341,3.5561039672198205
11.0,-1.0108811120123715,1.0366687539651143,4.0655117295061824,3.5469351150432087
12.0,-1.0147050472430488,1.0308921401597448,4.059196654188367,3.524744984130872
13.0,-1.0078385595700483,1.0303976841991092,4.05290466720313,3.490355474515278
14.0,-1.0115376499188036,1.0246714646511095,4.046497767824331,3.4435587432279746
15.0,-1.0048362743934343,1.0240999617417916,4.040116076148679,3.386255914883698
16.0,-1.0083124492703897,1.0184733900992469,4.033635518460498,3.3180904976187517
17.0,-1.0018691864796065,1.017778314026749,4.027182424802862,3.2418516097991392
18.0,-1.005035856803347,1.0122953268355612,4.020652018857255,3.1571045385116676
19.0,-0.9989297194442229,1.0114366341109038,4.014150935882753,3.067242405433418
20.0,-1.0017163373682285,1.0061334896882514,4.007596145075363,2.971826645168466
21.0,-0.9960084607312031,1.0050796345562856,4.001071623995189,2.8745171887564216
22.0,-0.9983636651585164,0.9999832358421664,3.994515687424457,2.7749233022599644
23.0,-0.9930949825314952,0.9987124436806741,3.9879896712780982,2.676624256134634
24.0,-0.9949880963841109,0.9938394751840166,3.981450654418406,2.5792829865119873
25.0,-0.985369324902562,0.9908409101543761,3.9812454208872077,5.548353210118453
26.0,-0.9929243086716188,0.9830720805858428,3.972546268074264,5.139674242803701
27.0,-0.9829467902777919,0.9841762220566121,3.9644485660897555,4.754849136754508
28.0,-0.9890173192976291,0.9771481636428626,3.9562913203442953,4.381080626187159
29.0,-0.9804695691179786,0.9775415598255993,3.9485717459384095,4.0358806962540275
30.0,-0.9851585013129116,0.9712052380055974,3.9408988930986575,3.7095026997047555
31.0,0.8683896619151161,0.9044087083560598,2.2765738769137878,60.4746396134866
32.0,0.9708772047396905,0.845694605451759,0.939963044574542,42.28007401318445
33.0,0.897486503861945,0.8835492699952731,0.6199584970271763,32.2607322916183
34.0,0.9526246808961318,0.8530542522683449,0.2986106677044609,23.344062859964534
35.0,0.9122937717830218,0.8743196938246387,0.1844265900563541,17.648065256808128
36.0,0.942599357301463,0.8578979095314565,0.0969041454686538,12.95693993001497
37.0,0.9202927742497374,0.8698493309586731,0.05884252899784423,9.738500722135957
38.0,0.9370763219979378,0.8608999010280501,0.033585138813082324,7.201795544031908
39.0,0.9247212726498825,0.86762339017693,0.021326801488548413,5.394991204367647
40.0,0.9340558952152397,0.8627351252996989,0.013806751682800883,4.005638127983601
41.0,0.9272166420791582,0.8665340667397942,0.009925995254911536,2.995690301349483
42.0,0.9324292283311202,0.8638765021338394,0.007643577404711227,2.2296928252597352
43.0,0.9286518508476,0.8660435973339679,0.006422324624841813,1.6665997999995137
44.0,0.9315781825183375,0.8646180749701808,0.005718278962259007,1.24281686333271
45.0,0.9295020738370999,0.8658758230850199,0.005331610659028549,0.9294409069593256
46.0,0.9311584334356003,0.8651329645625393,0.005108978646352118,0.6947593675720414
47.0,0.9300283794884527,0.8658841612796104,0.004982773546350445,0.5208721514693255
48.0,0.9309784286575056,0.8655203430664491,0.004908095308945881,0.39132352945720583
49.0,0.9303748943695049,0.8659892850817418,0.004863009271665484,0.2956495583638605
50.0,0.9309316791860732,0.8658362221877284,0.004834044590886868,0.2251221572480894
51.0,0.930621412967133,0.8661477726269758,0.004814226631896426,0.1738069573923539
52.0,0.9309589903889793,0.8661120076449318,0.004799451994068498,0.13698558476518927
53.0,0.9308121983156675,0.8663356928563131,0.004787524280055731,0.11124099479186415
54.0,0.931027446582434,0.8663652458551148,0.004777181549748331,0.0937973688831412
55.0,0.9309162332036802,0.8667143555697181,0.00477376197189925,0.1802068291385986
56.0,0.9312655994250756,0.8666716515355035,0.0047585193505222,0.1415998307570523
57.0,0.9311092286121725,0.8668997629171605,0.004746356120866334,0.1144418934327934
58.0,0.931331317489663,0.8669250100615333,0.004735910024242169,0.09589753001838848
59.0,0.9312085648871228,0.8672789263705163,0.0047339394778428395,0.1876296947912042
60.0,0.9315715190471728,0.8672283267410703,0.004718118010385037,0.14697926080955467
61.0,0.9314042044922058,0.8674615956312214,0.004705655608960098,0.11820703892185408
62.0,0.9316341755269237,0.8674819848947126,0.004695069156821357,0.0984029310220245
63.0,0.9314983044685734,0.8678415568595707,0.0046948068675665665,0.19619611397595843
64.0,0.9318768434960077,0.8677819999721709,0.004678274132612142,0.15321955631903603
65.0,0.9316970672757579,0.8680212388283866,0.0046654364384028256,0.1226127095995029
66.0,0.9319360802139601,0.8680361553681762,0.004654665355279654,0.10137377624316206
67.0,0.9318607044904964,0.8682192421792639,0.004645069875665273,0.08715735940511818
68.0,0.9321817281875419,0.8683326252997798,0.0046390267762840285,0.16046722811273814
69.0,0.9319877265569431,0.8685787772790503,0.004625719269572046,0.12777255529975706
